run,model_type,snap_idx,a,pos_mse_mean,pos_mse_std,pk_ratio_mean_k0.1,pk_ratio_std_k0.1,cross_corr_mean_k0.1,cross_corr_std_k0.1,pk_ratio_mean_k0.2,pk_ratio_std_k0.2,cross_corr_mean_k0.2,cross_corr_std_k0.2,pk_ratio_mean_k0.3,pk_ratio_std_k0.3,cross_corr_mean_k0.3,cross_corr_std_k0.3,pk_ratio_mean_k0.5,pk_ratio_std_k0.5,cross_corr_mean_k0.5,cross_corr_std_k0.5,pk_ratio_mean_k0.6,pk_ratio_std_k0.6,cross_corr_mean_k0.6,cross_corr_std_k0.6,pk_ratio_mean_k0.8,pk_ratio_std_k0.8,cross_corr_mean_k0.8,cross_corr_std_k0.8,pk_ratio_mean_k1.0,pk_ratio_std_k1.0,cross_corr_mean_k1.0,cross_corr_std_k1.0,pk_ratio_mean_k1.5,pk_ratio_std_k1.5,cross_corr_mean_k1.5,cross_corr_std_k1.5,pk_ratio_mean_k2.0,pk_ratio_std_k2.0,cross_corr_mean_k2.0,cross_corr_std_k2.0
kcorr gallant-lion-73,kcorr,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976709485054016,0.0002846738789230585,0.9986753463745117,8.975863602245227e-05,0.9904554486274719,0.0004514940665103495,0.9952220916748047,0.00018680942594073713,0.9774482846260071,0.0003569462278392166,0.989266037940979,0.00021000081324018538,0.9277616739273071,0.00046920235035941005,0.9692510366439819,0.000285282323602587,0.8898777961730957,0.0004987845895811915,0.9556865692138672,0.000477234018035233,0.7678834199905396,0.0019736767280846834,0.911418616771698,0.0008002050453796983,0.6277986168861389,0.0029761474579572678,0.850127100944519,0.0006969071109779179,0.2823236882686615,0.0037632789462804794,0.5380608439445496,0.004873618017882109,0.25892484188079834,0.004089724738150835,0.4980246126651764,0.0018532238900661469
kcorr gallant-lion-73,kcorr,12,0.3204081654548645,1.0528290840738918e-05,5.132482052034983e-07,0.6448987126350403,0.0022600332740694284,0.9980216026306152,0.00018910146900452673,0.7988356351852417,0.004639082588255405,0.9912573099136353,0.0005837054923176765,0.8650671243667603,0.004820331931114197,0.9819329977035522,0.0006474482361227274,0.8370122909545898,0.004961253609508276,0.9526671171188354,0.0017325262306258082,0.7825667262077332,0.005216245539486408,0.9318434596061707,0.0018069845391437411,0.6146650910377502,0.0019040898187085986,0.8670530319213867,0.003172029973939061,0.49105843901634216,0.0019966703839600086,0.7893085479736328,0.006804855074733496,0.2637755274772644,0.0031370369251817465,0.5242184400558472,0.0066886115819215775,0.24965853989124298,0.0028744623996317387,0.49971264600753784,0.007794319652020931
kcorr gallant-lion-73,kcorr,24,0.5408163070678711,6.631485157413409e-05,4.863944401476046e-06,0.43184083700180054,0.0035710318479686975,0.9922178387641907,0.0014068868476897478,0.6489550471305847,0.010035203769803047,0.9627057909965515,0.004888720344752073,0.757927417755127,0.013491397723555565,0.9298122525215149,0.0045175449922680855,0.7675740122795105,0.015181044116616249,0.8379560708999634,0.011869538575410843,0.7275964021682739,0.008042627945542336,0.7756266593933105,0.016244938597083092,0.6142847537994385,0.0064874980598688126,0.6205825209617615,0.017617622390389442,0.5340218544006348,0.00568762794137001,0.47439926862716675,0.01906246691942215,0.39512473344802856,0.008218931034207344,0.16878743469715118,0.012387605383992195,0.383823037147522,0.007790713105350733,0.1524989753961563,0.008753799833357334
kcorr gallant-lion-73,kcorr,37,0.7795918583869934,0.0001867744169430807,1.550145681509455e-05,0.3173190653324127,0.00399022176861763,0.978983998298645,0.004322964232414961,0.5425021052360535,0.013639383018016815,0.9055086374282837,0.012926311232149601,0.6619600057601929,0.020309453830122948,0.8264454007148743,0.012305148877203465,0.6901524662971497,0.01790511980652809,0.622249960899353,0.025571925565600395,0.6655192375183105,0.007547581102699041,0.5104333758354187,0.03395888954401016,0.5929093360900879,0.017533937469124794,0.2855888903141022,0.0293691698461771,0.5517061352729797,0.010880869813263416,0.14838790893554688,0.0164103452116251,0.4735991954803467,0.012633704580366611,0.02182944491505623,0.005310202017426491,0.4670781195163727,0.013959302566945553,0.014104070141911507,0.007956001907587051
kcorr gallant-lion-73,kcorr,49,1.0,0.0003159112355206162,2.753586851634736e-05,0.2621001899242401,0.004149206448346376,0.9650205373764038,0.007452019955962896,0.48118048906326294,0.014651289209723473,0.8510720133781433,0.019629890099167824,0.5979688763618469,0.024089528247714043,0.7309665679931641,0.01872129924595356,0.6263782382011414,0.02111521176993847,0.4510881006717682,0.030716365203261375,0.6103050112724304,0.016650786623358727,0.3238801062107086,0.036485206335783005,0.5530184507369995,0.01874418556690216,0.12363822758197784,0.023857779800891876,0.5337945222854614,0.011856884695589542,0.03819411247968674,0.018952418118715286,0.4749557077884674,0.008555980399250984,0.00868349801748991,0.012488903477787971,0.47179898619651794,0.01376627292484045,0.00638212775811553,0.011159734800457954
cnn lemon-cloud-74,cnn,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976710081100464,0.0002846652932930738,0.9986752271652222,8.982683357317e-05,0.9904558062553406,0.00045148489880375564,0.9952220916748047,0.00018665299285203218,0.9774481654167175,0.0003572799323592335,0.9892660975456238,0.00020927285368088633,0.9277618527412415,0.00046981978812254965,0.9692506790161133,0.00028470210963860154,0.8898773193359375,0.0004993301699869335,0.9556862115859985,0.00047667042235843837,0.7678832411766052,0.001973449718207121,0.9114192724227905,0.0008000670932233334,0.6277985572814941,0.002975681098178029,0.8501273989677429,0.0006959520978853106,0.2823241353034973,0.0037637485656887293,0.538061261177063,0.004873111378401518,0.25892525911331177,0.004090274218469858,0.49802422523498535,0.0018529297085478902
cnn lemon-cloud-74,cnn,12,0.3204081654548645,1.680979439697694e-05,8.673343809135421e-07,0.56758052110672,0.004530759062618017,0.9974266886711121,0.00029000715585425496,0.5875083208084106,0.005265105050057173,0.9874974489212036,0.0011051367036998272,0.6093004941940308,0.006256442982703447,0.9734084010124207,0.001426118309609592,0.6278380155563354,0.005025830119848251,0.9299553036689758,0.0029032756574451923,0.6226316690444946,0.009183485060930252,0.9008229970932007,0.003168310271576047,0.518253743648529,0.00293497322127223,0.8217047452926636,0.006809890735894442,0.4092530608177185,0.0035442376974970102,0.7317420840263367,0.009078539907932281,0.20577016472816467,0.002629091963171959,0.45116114616394043,0.012682602740824223,0.19329915940761566,0.003558142576366663,0.42532283067703247,0.011164232157170773
cnn lemon-cloud-74,cnn,24,0.5408163070678711,8.560949936509132e-05,5.172422841575281e-06,0.40222492814064026,0.005301091820001602,0.9938951730728149,0.0011003356194123626,0.41559094190597534,0.00832223892211914,0.959612250328064,0.005601444281637669,0.43500131368637085,0.011296913959085941,0.9136449098587036,0.004912015050649643,0.4533669352531433,0.01110442727804184,0.7880271077156067,0.013706210069358349,0.4472007155418396,0.00940323993563652,0.7097240686416626,0.017509082332253456,0.3775842487812042,0.005791401024907827,0.550531268119812,0.017147673293948174,0.3057040274143219,0.002732667839154601,0.4038110673427582,0.01818346232175827,0.19613975286483765,0.0026939783710986376,0.12935754656791687,0.008517663925886154,0.1876540631055832,0.0027876743115484715,0.115053690969944,0.011715282686054707
cnn lemon-cloud-74,cnn,37,0.7795918583869934,0.00019970767316408456,1.2848010482083419e-05,0.3281896710395813,0.005371992476284504,0.9884222149848938,0.002565152943134308,0.331133097410202,0.009628473781049252,0.9204785227775574,0.011358799412846565,0.34467118978500366,0.013109096325933933,0.8321614265441895,0.009858726523816586,0.35849446058273315,0.010444522835314274,0.6106783747673035,0.023994792252779007,0.3508729040622711,0.003034702269360423,0.4990084767341614,0.03295458108186722,0.30392688512802124,0.009211736731231213,0.29145222902297974,0.027595384046435356,0.2635495960712433,0.005137974862009287,0.160076305270195,0.020261645317077637,0.21545954048633575,0.0031521276105195284,0.02438358962535858,0.0047349464148283005,0.21107466518878937,0.003253838513046503,0.013608378358185291,0.00827012863010168
cnn lemon-cloud-74,cnn,49,1.0,0.00030384089332073926,2.017350211780651e-05,0.29457470774650574,0.005392501130700111,0.983335018157959,0.004006479866802692,0.29071393609046936,0.009952886961400509,0.8888534307479858,0.015364187769591808,0.29992157220840454,0.013855382800102234,0.7681952714920044,0.01401213463395834,0.3086482286453247,0.011097143404185772,0.48905739188194275,0.02819407731294632,0.301474928855896,0.008152923546731472,0.36649617552757263,0.03783711791038513,0.26471856236457825,0.01032209675759077,0.16465462744235992,0.02456369623541832,0.2420528680086136,0.00628622155636549,0.07266508787870407,0.016547411680221558,0.21930542588233948,0.004956949036568403,0.010726960375905037,0.007523526903241873,0.21936745941638947,0.007166978437453508,0.006363603286445141,0.009721699170768261
